entity,day,training_computation_petaflop
ERNIE 3.0 Titan,2021-12-23,1042100030.0
ERNIE-Doc (247M),2020-12-31,30302.799
ERNIE-GEN (large),2020-08-06,200000.0
ESM1b,2020-12-15,5100000.0
ESM2-15B,2022-07-21,73500000.0
ESM3 (98B),2024-06-25,1070000000.0
EVA-01,2022-11-14,15010000.0
EXAONE 3.5 32B,2024-12-09,1250000000.0
EXAONE 4.0 (32B),2025-07-15,2690000000.0
EXAONE 4.5,2026-04-09,3850000100.0
EXAONE Deep 32B,2025-03-16,1260000000.0
Eagle 2,2025-01-20,47156000.0
EfficientNetV2-XL,2021-06-23,95600.01
EnhanceNet,2016-12-23,130.79233
Eurus-2-7B-PRIME,2025-02-03,401915.9
FFN SwiGLU,2020-02-14,33687.316
FGN,2025-06-12,9618951.0
FLAN 137B,2021-09-03,2047000000.0
FTW (For The Win),2018-07-03,34900.0
Falcon-180B,2023-09-06,3760000300.0
Falcon-40B,2023-03-15,240000000.0
Feedback Transformer,2020-02-21,7690.5474
Feedforward NN,2010-05-13,0.35000002
FinGPT-13B,2023-10-07,160000000.0
Fine-tuned-AWD-LSTM-DOC (fin),2018-11-12,51.88
Flamingo,2022-04-29,218972000.0
Flan-PaLM 540B,2022-10-20,2540000000.0
Florence,2021-11-22,48310000.0
Fold2Seq,2021-06-24,140.0
FourCastNet,2022-02-22,345047.06
Fractional Max-Pooling,2014-12-18,100.0
Fraternal dropout + AWD-LSTM 3-layer (WT2),2017-10-31,306.0
FunSearch,2023-12-14,387000000.0
Fusion in Encoder,2022-11-18,130000.0
GANs,2014-06-10,518.4
GGNN,2023-08-05,7560000.5
GL-LWGC-AWD-MoS-LSTM + dynamic evaluation (WT2),2017-08-29,456.00003
GLM-130B,2022-08-04,354900540.0
GLM-4.5,2025-08-05,4420000300.0
GLM-4.6,2025-09-30,4420000300.0
GLM-4.7,2025-12-22,4420000300.0
GLM-5,2026-02-11,6840000500.0
GLaM,2021-12-13,363631140.0
GNMT,2016-09-26,6620000.0
GNN,2008-12-09,1.6145999e-06
GOAT,2021-07-27,24120000.0
GPT-1,2018-06-01,17578.125
GPT-2 (1.5B),2019-02-14,1920000.1
GPT-2 Medium (FlashAttention),2022-05-27,892809.25
GPT-3 175B (davinci),2020-05-28,314000000.0
GPT-3.5 (davinci-002),2022-03-15,2578000000.0
GPT-4 (Jun 2023),2023-06-13,21000000000.0
GPT-4 (Mar 2023),2023-03-15,21000000000.0
GPT-4.5,2025-02-27,380000000000.0
GPT-5,2025-08-07,66000003000.0
GPT-NeoX-20B,2022-02-09,93162700.0
GPU DBNs,2009-06-15,1.0
GQA-8-XXL,2023-12-23,34912896.0
GShard (dense),2020-06-30,47650000.0
Galactica,2022-11-16,324000000.0
Gato,2022-05-12,4020000.0
Gemini 1.0 Ultra,2023-12-06,50000003000.0
GenCast,2024-05-01,816998.44
GenSLM,2022-10-11,1420000.0
Generative BST,2021-03-05,14490000.0
German ELECTRA Large,2020-10-21,1428295.6
GoogLeNet / InceptionV1,2014-09-17,1510.0
Gopher (280B),2021-12-08,631000000.0
GraphCast,2023-11-14,21000000.0
Grok 3,2025-02-17,350000000000.0
Grok 4,2025-07-09,500000000000.0
Grok-1,2023-11-04,2900000000.0
Grok-2,2024-08-13,29600002000.0
HR-ResNet101,2016-12-13,7077.0
Hanabi 4 player,2019-02-01,4300.0
Handwritten digit recognition network,1989-11-27,0.00018144
Heuristic Reinforcement Learning,1965-10-01,1.08e-09
Hierarchical LM,2005-01-06,0.115848005
Hierarchical Scene Labeling (Stanford Background),2013-08-01,237.74689
High Performance CNN (NORB),2011-07-16,25.7985
HuBERT,2021-07-27,5540000.0
Hunyuan-Large,2024-11-06,3492370000.0
Hunyuan-TurboS,2025-03-11,5400000000.0
Hybrid H3-2.7B,2022-12-28,6480000.0
HyenaDNA,2023-06-27,1811000.0
HyperCLOVA 204B,2021-09-10,200000000.0
IMPALA,2018-02-05,168000.0
ISS,2017-09-15,3.4
Image generation,2013-12-20,0.47520003
Imagen,2022-05-23,14600000.0
Inception v3,2015-12-02,100000.0
Incoder-6.7B,2023-04-09,3000010.2
Inflection-2,2023-11-22,10010000000.0
Inflection-2.5,2024-03-07,8000001500.0
Inkling,2026-07-15,1845000000.0
InstructBLIP,2023-05-11,194000.0
InstructGPT 175B,2022-01-27,319181000.0
InternImage,2022-11-10,2408000.2
InternLM,2023-07-06,998400000.0
Invariant CNN,2004-06-27,0.00097423
Invariant image recognition,1989-06-18,2.7e-05
JFT,2017-07-10,843000.06
JPMAX,1994-12-02,8.082828e-08
Jais,2023-08-29,48946764.0
Jurassic-1-Jumbo,2021-08-11,370000000.0
K-EXAONE,2025-12-31,1520000000.0
K-EXAONE 2.0,2026-07-31,3550000000.0
KEPLER,2020-11-23,1660000.0
KN-LM,2007-06-22,773.03815
KataGo,2019-02-27,23200.002
Kimi K2,2025-07-11,2976000000.0
Kimi K2 Thinking,2025-11-06,4200000000.0
Kimi K2.5,2026-02-02,5800000000.0
Kimi K3,2026-07-16,20001000000.0
LCNP LabelMe,2009-11-22,3.2951503
LCNP MNIST,2009-11-22,4.1818523
LCNP NORB,2009-11-22,2.45209
LISSOM,1995-11-27,0.0001955448
LLaMA-65B,2023-02-24,550000000.0
LLaVA,2023-04-17,78049000.0
LLaVA 1.5,2023-11-05,78070000.0
LLaVA-OV-72B,2024-08-06,3036552000.0
LMICA,2004-12-01,2.7820802
LSTM,1997-11-15,0.031512
LSTM LM,2012-09-09,16.6
LSTM+NeuralCache,2018-09-24,0.9828
LTE speaker verification system,1966-11-01,1.0591706e-07
LUKE,2020-10-02,18144000.0
LaMDA,2022-02-10,355000000.0
LeNet-5,1998-11-01,0.0028109376
Libratus,2017-08-19,551000.0
Linear Decision Functions,1962-06-01,1.5592501e-09
Ling-1T,2025-10-10,6000001500.0
Llama 2-70B,2023-07-18,810000000.0
Llama 2-7B,2023-07-18,84000000.0
Llama 3-70B,2024-04-18,7861000000.0
Llama 3.1-405B,2024-07-23,38000000000.0
Llama 3.2 11B,2024-09-24,579000000.0
Llama 3.3 70B,2024-12-06,6864977000.0
Llama 4 Behemoth (preview),2025-04-05,51840000000.0
Llama 4 Maverick,2025-04-05,2244000000.0
Llama 4 Scout,2025-04-05,4080000300.0
Llama Guard,2023-12-07,160000000.0
